,coal,oil,lignite,gas
2021-01-28,7.73895781637717,40.58573857177815,6.896513303601045,20.90999984741211
2021-01-29,7.73895781637717,40.58573857177815,6.896513303601045,19.81999969482422
2021-01-30,7.73895781637717,40.58573857177815,6.896513303601045,19.81999969482422
2021-01-31,7.73895781637717,40.58573857177815,6.896513303601045,19.81999969482422
2021-02-01,7.487841191066996,40.777897742364864,6.672732635932575,18.139999389648438
2021-02-02,7.465012406947891,40.777897742364864,6.652388938871806,18.25
2021-02-03,7.276674937965261,40.777897742364864,6.484553438120454,17.854999542236328
2021-02-04,7.419354838709677,40.777897742364864,6.611701544750265,18.1200008392334
2021-02-05,7.584863523573201,40.777897742364864,6.759193348440848,18.3799991607666
2021-02-06,7.584863523573201,40.777897742364864,6.759193348440848,18.3799991607666
2021-02-07,7.584863523573201,40.777897742364864,6.759193348440848,18.3799991607666
2021-02-08,7.790322580645162,41.20617084569992,6.94228662198778,20.18000030517578
2021-02-09,7.830272952853597,41.20617084569992,6.977888091844125,19.045000076293945
2021-02-10,7.761786600496277,41.20617084569992,6.916857000661816,18.559999465942383
2021-02-11,7.68759305210918,41.20617084569992,6.850739985214313,17.375
2021-02-12,7.647642679900744,41.20617084569992,6.815138515357966,17.6200008392334
2021-02-13,7.647642679900744,41.20617084569992,6.815138515357966,17.6200008392334
2021-02-14,7.647642679900744,41.20617084569992,6.815138515357966,17.6200008392334
2021-02-15,7.453598014888337,42.937665408673574,6.642217090341421,17.6200008392334
2021-02-16,7.487841191066996,42.937665408673574,6.672732635932575,16.71500015258789
2021-02-17,7.459305210918114,42.937665408673574,6.647303014606613,16.540000915527344
2021-02-18,7.48213399503722,42.937665408673574,6.667646711667382,17.329999923706055
2021-02-19,7.527791563275435,42.937665408673574,6.708334105788924,16.55500030517578
2021-02-20,7.527791563275435,42.937665408673574,6.708334105788924,16.55500030517578
2021-02-21,7.527791563275435,42.937665408673574,6.708334105788924,16.55500030517578
2021-02-22,7.527791563275435,42.34456842968177,6.708334105788924,15.960000038146973
2021-02-23,7.522084367245658,42.34456842968177,6.7032481815237315,16.25
2021-02-24,7.49925558312655,42.34456842968177,6.68290448446296,16.3799991607666
2021-02-25,7.510669975186104,42.34456842968177,6.693076332993346,15.9350004196167
2021-02-26,7.550620347394542,42.34456842968177,6.7286778028496945,15.694999694824219
2021-02-27,7.550620347394542,42.34456842968177,6.7286778028496945,15.694999694824219
2021-02-28,7.550620347394542,42.34456842968177,6.7286778028496945,15.694999694824219
2021-03-01,7.465012406947891,43.49798270150182,6.652388938871806,16.079999923706055
2021-03-02,7.550620347394542,43.49798270150182,6.7286778028496945,15.869999885559082
2021-03-03,7.49925558312655,43.49798270150182,6.68290448446296,15.524999618530273
2021-03-04,7.442183622828784,43.49798270150182,6.632045241811036,15.930000305175781
2021-03-05,7.447890818858561,43.49798270150182,6.637131166076228,16.364999771118164
2021-03-06,7.447890818858561,43.49798270150182,6.637131166076228,16.364999771118164
2021-03-07,7.447890818858561,43.49798270150182,6.637131166076228,16.364999771118164
